,headline
0,"$1.3 Million Homes in Oregon, North Carolina and Georgia"
1,"$1.5 Million Homes in Florida, Illinois and California"
2,$1.8 Million Homes in California
3,$3 Million Homes in California
4,"$30 Million in Illegal Drugs Seized From Cross-Border Tunnel in San Diego, U.S. Says"
5,"$450,000 Homes in California"
6,"$500,000 Homes in Mississippi, Missouri and New York"
7,$6 Million in Relief Coming for Tennis Players
8,"$600,000 Homes in Kentucky, Massachusetts and Minnesota"
9,"$600,000 Homes in Rhode Island, Colorado and Maryland"
10,"$700,000 Homes in California"
11,"'Within 5 or 10 Minutes, I Was in Love’"
12,"1 in 5 New Yorkers May Have Had Covid-19, Antibody Tests Suggest"
13,10 African Countries Have No Ventilators. That’s Only Part of the Problem.
14,10 New Books We Recommend This Week
15,10 Playwrights Script a Web Series. Is It Theater?
16,10 Women in Jazz Who Never Got Their Due
17,10 Years of Fertility Advances
18,11 Books to Watch For in May
19,"11 Days After Fuming About a Coughing Passenger, a Bus Driver Died From the Coronavirus"
20,11 Filipino Soldiers Are Killed Trying to Track an ISIS Leader
21,11 Filipino Soldiers Trying to Track an ISIS Leader Are Killed
22,11 New Books We Recommend This Week
23,"11 New Cookbooks Worth Buying, Even in Quarantine"
24,11 Numbers That Show How the Coronavirus Has Changed N.Y.C.
25,11 Stranger-Than-Fiction Documentaries on Netflix and Hulu
26,11 of Our Best Weekend Reads
27,11 of Our Best Weekend Reads
28,11 of Our Best Weekend Reads
29,11 of Our Best Weekend Reads
30,12 Family-Friendly Nature Documentaries
31,12 Fraught Hours With E.M.T.s in a City Under Siege
32,12 Ideas for Writing Through the Pandemic With The New York Times
33,12 New Books We Recommend This Week
34,12 New Books We Recommend This Week
35,12 People on Joining ACT UP: ‘I Went to That First Meeting and Never Left’
36,12 Places to Watch Dance Online
37,12 Rangers Among 17 Killed in Congo Park Ambush
38,12 Recent Netflix Originals Worth Streaming While Stuck at Home
39,12 Часов. 4 Больницы Атакованы с Воздуха. Один Виновник—Россия.
40,13 Uplifting Documentaries on Netflix
41,14 Days With a Quarantine Tracker Wristband: Does It Even Work?
42,15 Documentaries That Get Inside an Artist’s Head
